,Object Number,Is Highlight,Is Public Domain,Is Timeline Work,Object ID,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL
297513,Inst.1980.3.1,False,False,False,442985,Islamic Art,,Illustrated single work,Illustrated Single Work,,,,,,Artist,,Mohammad Aslam Kamal,b. 1939,,Kamal Mohammad Aslam,Pakistani,1914      ,1990      ,,,,20th century,1900,1980,Color on wood,"H. 24 in. (60.9 cm)
W. 18 in. (45.7 cm)","Gift of the Government of Pakistan, 1980",Made in,,,,Pakistan,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/442985,,,"Metropolitan Museum of Art, New York, NY",Abstraction,http://vocab.getty.edu/page/aat/300056508
366196,175T49 R43,True,False,False,591826,The Libraries,,,Vita del Tintoretto,"Venice: Oddoni, 1642",,,,,Author,,Carlo Ridolfi,"Italian, Lonigo 1594–1658 Venice",,"Ridolfi, Carlo",Italian,1594      ,1658      ,,http://vocab.getty.edu/page/ulan/500013305,https://www.wikidata.org/wiki/Q776990,1642,1642,1642,Illustrated book,H: 9 in. (23 cm),Purchased with income from the Jacob S. Rogers Fund,|,,|,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/591826,https://www.wikidata.org/wiki/Q29385980,,"Metropolitan Museum of Art, New York, NY",,
380983,WW.550,False,False,False,650203,Drawings and Prints,,Print,Flowers and Dragonfly,,,,,,Artist|Publisher,,Maria Pranke|Wiener Werkstätte,"Hungarian, Pándorfalu Parndorf, Hungary 1891–1972 Vienna",,"Pranke, Maria|Wiener Werkstätte",Hungarian,1891      ,1972      ,|,|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 5 3/8 × 3 9/16 in. (13.6 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/650203,,,"Metropolitan Museum of Art, New York, NY",Dragonflies|Flowers,http://vocab.getty.edu/page/aat/300310476|http://vocab.getty.edu/page/aat/300132399
379184,WW.211,False,False,False,647832,Drawings and Prints,,Print,Old Karlsbad: City Tower (Alt-Karlsbad Stadtturm),,,,,,Artist|Publisher,,Karl Schwetz|Wiener Werkstätte,"Austrian, Kanitz (Moravia) 1888–1965 Vienna",,"Schwetz, Karl|Wiener Werkstätte",Austrian,1888      ,1965      ,|,http://vocab.getty.edu/page/ulan/500170934|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1909,1909,1909,Color lithograph,Sheet: 5 1/2 × 3 9/16 in. (14 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/647832,,,"Metropolitan Museum of Art, New York, NY",Towers,http://vocab.getty.edu/page/aat/300004847
472119,24.63.2060,False,False,False,838838,Drawings and Prints,,Print,"Victor Hugo, published in Le Masque",,,,,,Artist,,George Montbard,"French, 1841–1905",,"Montbard, George",,1841      ,1905      ,,http://vocab.getty.edu/page/ulan/500061380,,"June 20, 1867",1867,1867,Lithograph,Sheet: 19 3/8 × 13 7/16 in. (49.2 × 34.2 cm),"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/838838,,,"Metropolitan Museum of Art, New York, NY",,
471850,2019.601.1,False,False,False,838173,The American Wing,,Drawing,Four Flies,American,,,,,Artist,,Charles Ethan Porter,1847–1923,,"Porter, Charles Ethan",,1847      ,1923      ,,http://vocab.getty.edu/page/ulan/500122066,https://www.wikidata.org/wiki/Q5077434,ca. 1878,1873,1883,Watercolor on paper,4 1/4 × 4 1/4 in. (10.8 × 10.8 cm),Partial and Promised Gift of Charlynn and Warren Goins,,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/838173,,,"Metropolitan Museum of Art, New York, NY",,
380686,WW.484,False,False,False,649812,Drawings and Prints,,Print,Christmas Card,,,,,,Artist|Publisher,,Mela Koehler|Wiener Werkstätte,"Austrian, Vienna 1885–1960 Stockholm",,"Koehler, Mela|Wiener Werkstätte",Austrian,1885      ,1960      ,Female|,http://vocab.getty.edu/page/ulan/500109558|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 6 3/16 × 3 7/16 in. (15.7 × 8.8 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/649812,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943
257613,WW.229,False,False,False,390830,Drawings and Prints,,Print,Fashion (Mode),,,,,,Publisher|Artist,Published by,Wiener Werkstätte|Josef Diveky,"Hungarian, 1887–1951",,"Wiener Werkstätte|Diveky, Josef",Hungarian,1887      ,1951      ,|,http://vocab.getty.edu/page/ulan/500268774|http://vocab.getty.edu/page/ulan/500135229,https://www.wikidata.org/wiki/Q241338|,1909,1909,1909,Color lithograph,"image: 3 3/8 x 3 3/8 in. (8.6 x 8.6 cm)
sheet: 5 9/16 x 3 1/2 in. (14.1 x 8.9 cm)","Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/390830,,,"Metropolitan Museum of Art, New York, NY",Women|Fashion,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300055811
5967,Inst.67.15.49,False,False,False,6370,The American Wing,,Plate,Plate,French,,,,,,,,,,,,,,,,,1815–30,1815,1830,Porcelain,H. 1 1/8 in. (2.9 cm); Diam. 7 1/2 in. (19.1 cm),"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6370,,,"Metropolitan Museum of Art, New York, NY",,
297448,x.165.13,False,False,True,442887,Islamic Art,,Coin weight,Coin Weight,,,,,,,,,,,,,,,,,,11th–13th century,1000,1299,Glass,"H. 1/4 in. (0.6 cm)
Diam. 1 1/16 in. (2.7 cm)
Wt. 0.2 oz. (5.67g)",Museum Accession,Attributed to,,,,Egypt,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/442887,,,"Metropolitan Museum of Art, New York, NY",Weights and Measures,http://vocab.getty.edu/page/aat/300386648
