ORDERNUMBER	SALES	MONTH_ID	YEAR_ID	PRODUCTLINE	COUNTRY
10107	2871	2	2003	Motorcycles	USA
10121	2765.9	5	2003	Motorcycles	France
10134	3884.34	7	2003	Motorcycles	France
10145	3746.7	8	2003	Motorcycles	USA
10159	5205.27	10	2003	Motorcycles	USA
10168	3479.76	10	2003	Motorcycles	USA
10180	2497.77	11	2003	Motorcycles	France
10188	5512.32	11	2003	Motorcycles	Norway
10201	2168.54	12	2003	Motorcycles	USA
10211	4708.44	1	2004	Motorcycles	France
10223	3965.66	2	2004	Motorcycles	Australia
10237	2333.12	4	2004	Motorcycles	USA
10251	3188.64	5	2004	Motorcycles	USA
10263	3676.76	6	2004	Motorcycles	USA
10275	4177.35	7	2004	Motorcycles	France
10285	4099.68	8	2004	Motorcycles	USA
10299	2597.39	9	2004	Motorcycles	Finland
10309	4394.38	10	2004	Motorcycles	Norway
10318	4358.04	11	2004	Motorcycles	USA
10329	4396.14	11	2004	Motorcycles	USA
10341	7737.93	11	2004	Motorcycles	Austria
10361	1451	12	2004	Motorcycles	Australia
10375	733.11	2	2005	Motorcycles	France
10388	3207.12	3	2005	Motorcycles	USA
10403	2434.56	4	2005	Motorcycles	UK
10417	7516.08	5	2005	Motorcycles	Spain
10103	5404.62	1	2003	Classic Cars	Norway
10112	7209.11	3	2003	Classic Cars	Sweden
10126	7329.06	5	2003	Classic Cars	Spain
10140	7374.1	7	2003	Classic Cars	USA
10150	10993.5	9	2003	Classic Cars	Singapore
10163	4860.24	10	2003	Classic Cars	USA
10174	8014.82	11	2003	Classic Cars	Australia
10183	5372.57	11	2003	Classic Cars	USA
10194	7290.36	11	2003	Classic Cars	France
10206	9064.89	12	2003	Classic Cars	Canada
10215	6075.3	1	2004	Classic Cars	USA
10228	6463.23	3	2004	Classic Cars	USA
10245	6120.34	5	2004	Classic Cars	USA
10258	7680.64	6	2004	Classic Cars	Japan
10270	4905.39	7	2004	Classic Cars	Australia
10280	8014.82	8	2004	Classic Cars	Italy
10291	7136.19	9	2004	Classic Cars	Sweden
10304	10172.7	10	2004	Classic Cars	France
10312	11623.7	10	2004	Classic Cars	USA
10322	6000.4	11	2004	Classic Cars	USA
10333	3003	11	2004	Classic Cars	USA
10347	3944.7	11	2004	Classic Cars	Australia
10357	5691.84	12	2004	Classic Cars	USA
10369	4514.92	1	2005	Classic Cars	USA
10381	8254.8	2	2005	Classic Cars	USA
10391	2416.56	3	2005	Classic Cars	Australia
10411	4140.23	5	2005	Classic Cars	Canada
10424	12001	5	2005	Classic Cars	Spain
10107	3896.49	2	2003	Motorcycles	USA
10120	2793.86	4	2003	Motorcycles	Australia
10134	3307.77	7	2003	Motorcycles	France
10145	5192.95	8	2003	Motorcycles	USA
10159	5016.83	10	2003	Motorcycles	USA
10168	3660.93	10	2003	Motorcycles	USA
10180	4695.6	11	2003	Motorcycles	France
10188	3660.92	11	2003	Motorcycles	Norway
10201	3025.92	12	2003	Motorcycles	USA
10210	3009.09	1	2004	Motorcycles	Japan
10223	5422.39	2	2004	Motorcycles	Australia
10236	2852.08	4	2004	Motorcycles	USA
10251	5756.52	5	2004	Motorcycles	USA
10263	4472	6	2004	Motorcycles	USA
10275	2904.44	7	2004	Motorcycles	France
10285	6484.59	8	2004	Motorcycles	USA
10298	3757.26	9	2004	Motorcycles	France
10308	4043.96	10	2004	Motorcycles	USA
10318	5566.5	11	2004	Motorcycles	USA
10329	3176	11	2004	Motorcycles	USA
10339	2756.8	11	2004	Motorcycles	Japan
10361	1329.9	12	2004	Motorcycles	Australia
10374	5288.01	2	2005	Motorcycles	Australia
10388	2225.5	3	2005	Motorcycles	USA
10402	5833.8	4	2005	Motorcycles	France
10417	5887.35	5	2005	Motorcycles	Spain
10107	6065.55	2	2003	Motorcycles	USA
10120	9264.86	4	2003	Motorcycles	Australia
10134	7023.98	7	2003	Motorcycles	France
10145	5176.38	8	2003	Motorcycles	USA
10159	4132.7	10	2003	Motorcycles	USA
10168	4183	10	2003	Motorcycles	USA
10180	8892.9	11	2003	Motorcycles	France
10188	8714.7	11	2003	Motorcycles	Norway
10201	8065.89	12	2003	Motorcycles	USA
10210	6123.4	1	2004	Motorcycles	Japan
10223	9774.03	2	2004	Motorcycles	Australia
10237	7023.9	4	2004	Motorcycles	USA
10251	7078.23	5	2004	Motorcycles	USA
10263	8336.94	6	2004	Motorcycles	USA
10275	6901.92	7	2004	Motorcycles	France
10285	5438.07	8	2004	Motorcycles	USA
10299	6683.34	9	2004	Motorcycles	Finland
10308	4570.4	10	2004	Motorcycles	USA
10318	7667.14	11	2004	Motorcycles	USA
10329	5868.2	11	2004	Motorcycles	USA
10339	2990.13	11	2004	Motorcycles	Japan
10362	3664.1	1	2005	Motorcycles	USA
10374	3834.38	2	2005	Motorcycles	Australia
10388	1822.17	3	2005	Motorcycles	USA
10403	11886.6	4	2005	Motorcycles	UK
10417	9218.16	5	2005	Motorcycles	Spain
10105	7208	2	2003	Classic Cars	Denmark
10119	5004.8	4	2003	Classic Cars	Austria
10129	4398.24	6	2003	Classic Cars	UK
10143	5597.76	8	2003	Classic Cars	USA
10155	4526.08	10	2003	Classic Cars	Finland
10167	5924.16	10	2003	Classic Cars	Sweden
10178	3492.48	11	2003	Classic Cars	France
10186	3854.24	11	2003	Classic Cars	UK
10197	5324.4	11	2003	Classic Cars	Spain
10209	5197.92	1	2004	Classic Cars	USA
10222	5997.6	2	2004	Classic Cars	USA
10248	2910.4	5	2004	Classic Cars	USA
10261	3378.24	6	2004	Classic Cars	Canada
10273	3508.8	7	2004	Classic Cars	Belgium
10283	2992	8	2004	Classic Cars	Canada
10295	3427.2	9	2004	Classic Cars	USA
10307	2692.8	10	2004	Classic Cars	USA
10316	4128.96	11	2004	Classic Cars	UK
10325	3051.71	11	2004	Classic Cars	Norway
10337	1201.25	11	2004	Classic Cars	USA
10350	1962.22	12	2004	Classic Cars	Spain
10359	2624.64	12	2004	Classic Cars	France
10373	4046.25	1	2005	Classic Cars	Finland
10384	4846.7	2	2005	Classic Cars	USA
10395	3370.56	3	2005	Classic Cars	France
10400	9661.44	4	2005	Classic Cars	USA
10414	2764.88	5	2005	Classic Cars	USA
10103	5398.26	1	2003	Classic Cars	Norway
10114	4305.28	4	2003	Classic Cars	France
10126	3347.74	5	2003	Classic Cars	Spain
10140	3188.12	7	2003	Classic Cars	USA
10150	3191.2	9	2003	Classic Cars	Singapore
10164	3536.82	10	2003	Classic Cars	Austria
10175	5362.83	11	2003	Classic Cars	UK
10183	3433.36	11	2003	Classic Cars	USA
10194	4263.74	11	2003	Classic Cars	France
10207	4076.19	12	2003	Classic Cars	USA
10217	7020.48	2	2004	Classic Cars	Singapore
10229	6426.5	3	2004	Classic Cars	USA
10245	4591.72	5	2004	Classic Cars	USA
10259	4033.38	6	2004	Classic Cars	Singapore
10270	4302.08	7	2004	Classic Cars	Australia
10281	7020.64	8	2004	Classic Cars	USA
10291	3855.9	9	2004	Classic Cars	Sweden
10305	6680.78	10	2004	Classic Cars	USA
10313	6678	10	2004	Classic Cars	Canada
10322	2851.54	11	2004	Classic Cars	USA
10334	3188.12	11	2004	Classic Cars	Sweden
10347	4428	11	2004	Classic Cars	Australia
10357	5780.92	12	2004	Classic Cars	USA
10370	2297.05	1	2005	Classic Cars	Australia
10381	6231.54	2	2005	Classic Cars	USA
10391	1735.3	3	2005	Classic Cars	Australia
10411	4427.73	5	2005	Classic Cars	Canada
10425	5894.94	5	2005	Classic Cars	France
10108	5265.15	3	2003	Classic Cars	Philippines
10122	7599.9	5	2003	Classic Cars	France
10135	8008.56	7	2003	Classic Cars	USA
10147	9245.76	9	2003	Classic Cars	USA
10159	8296.35	10	2003	Classic Cars	USA
10169	5019.9	11	2003	Classic Cars	Australia
10181	5411.07	11	2003	Classic Cars	Norway
10191	3840.9	11	2003	Classic Cars	Germany
10203	3930.4	12	2003	Classic Cars	Spain
10211	7498.9	1	2004	Classic Cars	France
10225	4517.91	2	2004	Classic Cars	Switzerland
10238	5774.72	4	2004	Classic Cars	Denmark
10253	3922.56	6	2004	Classic Cars	UK
10266	9160.36	7	2004	Classic Cars	Italy
10276	9631	8	2004	Classic Cars	USA
10287	3432.24	8	2004	Classic Cars	Switzerland
10300	5521.89	10	2003	Classic Cars	Germany
10310	6934.62	10	2004	Classic Cars	Germany
10320	6876.11	11	2004	Classic Cars	Sweden
10329	2930.27	11	2004	Classic Cars	USA
10341	3584.25	11	2004	Classic Cars	Austria
10363	2817.87	1	2005	Classic Cars	Finland
10375	3420	2	2005	Classic Cars	France
10389	2575.04	3	2005	Classic Cars	Sweden
10419	1961.28	5	2005	Classic Cars	Austria
10105	8690.36	2	2003	Classic Cars	Denmark
10117	6034.38	4	2003	Classic Cars	Singapore
10127	11279.2	6	2003	Classic Cars	USA
10142	8023.29	8	2003	Classic Cars	USA
10153	4904	9	2003	Classic Cars	Spain
10165	8594.52	10	2003	Classic Cars	Singapore
10176	7474.5	11	2003	Classic Cars	Italy
10185	3883.74	11	2003	Classic Cars	USA
10196	8887.7	11	2003	Classic Cars	USA
10208	8602.92	1	2004	Classic Cars	France
10220	7181.44	2	2004	Classic Cars	Ireland
10231	8378.58	3	2004	Classic Cars	Spain
10247	10606.2	5	2004	Classic Cars	Finland
10272	5818.4	7	2004	Classic Cars	USA
10282	7071.27	8	2004	Classic Cars	USA
10293	8411.56	9	2004	Classic Cars	Italy
10306	6570.76	10	2004	Classic Cars	UK
10314	7975.44	10	2004	Classic Cars	Denmark
10325	2688	11	2004	Classic Cars	Norway
10336	1888.26	11	2004	Classic Cars	France
10348	2513.28	11	2004	Classic Cars	Spain
10359	4764.48	12	2004	Classic Cars	France
10371	3560.64	1	2005	Classic Cars	USA
10382	3823.64	2	2005	Classic Cars	USA
10395	2280.96	3	2005	Classic Cars	France
10413	8677.8	5	2005	Classic Cars	USA
10103	3394.98	1	2003	Trucks and Buses	Norway
10113	3415.44	3	2003	Trucks and Buses	USA
10126	2439.57	5	2003	Trucks and Buses	Spain
10140	4829.8	7	2003	Trucks and Buses	USA
10150	4100.1	9	2003	Trucks and Buses	Singapore
10164	6563.06	10	2003	Trucks and Buses	Austria
10174	6817.22	11	2003	Trucks and Buses	Australia
10183	6163.94	11	2003	Trucks and Buses	USA
10194	4933.92	11	2003	Trucks and Buses	France
10206	4056.36	12	2003	Trucks and Buses	Canada
10216	5759.42	2	2004	Trucks and Buses	France
10229	3451	3	2004	Trucks and Buses	USA
10245	5920.4	5	2004	Trucks and Buses	USA
10258	6668.24	6	2004	Trucks and Buses	Japan
10270	4094.72	7	2004	Trucks and Buses	Australia
10281	2938.5	8	2004	Trucks and Buses	USA
10291	6387.8	9	2004	Trucks and Buses	Sweden
10304	6396	10	2004	Trucks and Buses	France
10313	2669.1	10	2004	Trucks and Buses	Canada
10322	4784.13	11	2004	Trucks and Buses	USA
10333	3273.93	11	2004	Trucks and Buses	USA
10347	3586.43	11	2004	Trucks and Buses	Australia
