Sta_ID	Depth_ID	Depthm	T_degC	O2Sat	Salnty
044.0 048.5	19-4904CR-HY-087-0606-04400485-0000B-3	0	10.3	92.8	33.03
044.0 048.5	19-4904CR-HY-087-0606-04400485-0006A-3	6	18.46	111.8	32.92
044.0 048.5	19-4904CR-HY-087-0606-04400485-0010A-7	10	10.29	95.0	32.951
044.0 048.5	19-4904CR-HY-087-0606-04400485-0015A-3	15	10.29	95.3	32.99
044.0 048.5	19-4904CR-HY-087-0606-04400485-0020A-7	20	10.33	95.1	33.005
044.0 048.5	19-4904CR-HY-087-0606-04400485-0030A-7	30	10.39	94.8	33.054
044.0 048.5	19-4904CR-HY-087-0606-04400485-0031A-3	31	10.4	94.8	33.06
044.0 048.5	19-4904CR-HY-087-0606-04400485-0047A-3	47	10.36	91.1	33.15
044.0 048.5	19-4904CR-HY-087-0606-04400485-0050A-7	50	10.35	90.8	33.167
044.0 048.5	19-4904CR-HY-087-0606-04400485-0064A-3	64	10.25	88.1	33.26
044.0 048.5	19-4904CR-HY-087-0606-04400485-0075A-7	75	10.05	79.5	33.381
044.0 048.5	19-4904CR-HY-087-0606-04400485-0098A-3	98	9.54	59.3	33.64
044.0 048.5	19-4904CR-HY-087-0606-04400485-0100A-7	100	9.5	58.3	33.656
044.0 048.5	19-4904CR-HY-087-0606-04400485-0125A-7	125	9.05	49.2	33.81
044.0 048.5	19-4904CR-HY-087-0606-04400485-0132A-3	132	8.93	47.5	33.84
044.0 048.5	19-4904CR-HY-087-0606-04400485-0150A-7	150	8.66	41.3	33.891
044.0 048.5	19-4904CR-HY-087-0606-04400485-0197A-3	197	8.04	26.8	33.96
044.0 048.5	19-4904CR-HY-087-0606-04400485-0200A-7	200	8.01	26.2	33.966
044.0 048.5	19-4904CR-HY-087-0606-04400485-0250A-7	250	7.53	17.7	34.058
044.0 048.5	19-4904CR-HY-087-0606-04400485-0300A-7	300	7.11	11.9	34.136
044.0 048.5	19-4904CR-HY-087-0606-04400485-0382A-3	382	6.55	8.3	34.23
044.0 048.5	19-4904CR-HY-087-0606-04400485-0400A-7	400	6.41	8.1	34.232
044.0 048.5	19-4904CR-HY-087-0606-04400485-0500A-7	500	5.66	6.8	34.232
044.0 048.5	19-4904CR-HY-087-0606-04400485-0569A-3	569	5.2	6.1	34.22
044.0 048.5	19-4904CR-HY-087-0606-04400485-0600A-7	600	5.06	6.0	34.241
044.0 048.5	19-4904CR-HY-087-0606-04400485-0700A-7	700	4.6	5.7	34.313
044.0 048.5	19-4904CR-HY-087-0606-04400485-0800A-7	800	4.14	5.5	34.386
044.0 048.5	19-4904CR-HY-087-0606-04400485-0818A-3	818	4.06	5.5	34.4
042.0 068.0	19-4904CR-HY-091-1418-04200680-0000B-3	0	9.8	96.5	32.63
042.0 068.0	19-4904CR-HY-091-1418-04200680-0009A-3	9	9.63	98.1	32.74
042.0 068.0	19-4904CR-HY-091-1418-04200680-0010A-7	10	9.63	98.1	32.738
042.0 068.0	19-4904CR-HY-091-1418-04200680-0020A-7	20	9.65	97.4	32.722
042.0 068.0	19-4904CR-HY-091-1418-04200680-0021A-3	21	9.65	97.2	32.72
042.0 068.0	19-4904CR-HY-091-1418-04200680-0030A-7	30	9.78	98.1	32.78
042.0 068.0	19-4904CR-HY-091-1418-04200680-0042A-3	42	9.96	99.2	32.9
042.0 068.0	19-4904CR-HY-091-1418-04200680-0050A-7	50	9.95	97.8	32.941
042.0 068.0	19-4904CR-HY-091-1418-04200680-0063A-3	63	9.93	95.7	33.08
042.0 068.0	19-4904CR-HY-091-1418-04200680-0075A-7	75	9.04	81.0	33.219
042.0 068.0	19-4904CR-HY-091-1418-04200680-0084A-3	84	8.3	69.2	33.33
042.0 068.0	19-4904CR-HY-091-1418-04200680-0100A-7	100	8.07	59.1	33.506
042.0 068.0	19-4904CR-HY-091-1418-04200680-0124A-3	124	7.72	51.3	33.62
042.0 068.0	19-4904CR-HY-091-1418-04200680-0125A-7	125	7.71	51.1	33.627
042.0 068.0	19-4904CR-HY-091-1418-04200680-0150A-7	150	7.43	47.1	33.78
042.0 068.0	19-4904CR-HY-091-1418-04200680-0165A-3	165	7.28	45.3	33.86
042.0 068.0	19-4904CR-HY-091-1418-04200680-0200A-7	200	6.93	33.3	33.951
042.0 068.0	19-4904CR-HY-091-1418-04200680-0243A-3	243	6.53	19.8	33.96
042.0 068.0	19-4904CR-HY-091-1418-04200680-0250A-7	250	6.47	19.9	34.026
042.0 068.0	19-4904CR-HY-091-1418-04200680-0300A-7	300	6.09	20.6	34.037
042.0 068.0	19-4904CR-HY-091-1418-04200680-0323A-3	323	5.93	20.9	34.02
042.0 068.0	19-4904CR-HY-091-1418-04200680-0400A-7	400	5.43	16.7	34.065
042.0 068.0	19-4904CR-HY-091-1418-04200680-0487A-3	487	4.96	10.4	34.11
042.0 068.0	19-4904CR-HY-091-1418-04200680-0500A-7	500	4.91	10.1	34.12
042.0 068.0	19-4904CR-HY-091-1418-04200680-0600A-7	600	4.58	8.2	34.195
042.0 068.0	19-4904CR-HY-091-1418-04200680-0700A-7	700	4.32	6.2	34.271
042.0 068.0	19-4904CR-HY-091-1418-04200680-0750A-3	750	4.22	5.2	34.31
042.0 068.0	19-4904CR-HY-091-1418-04200680-1110A-3	1110	3.17	28.5	33.96
041.0 077.0	19-4904CR-HY-092-0030-04100770-0000B-3	0	10.09	92.1	32.79
