class,class_name,title,description
3,Business,Wall St. Bears Claw Back Into the Black (Reuters),"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again."
3,Business,Google IPO faces Playboy slip-up,"The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine."
3,Business,Letters,"Target the abusers of legal weapons We can all share the outrage, expressed by columnist Steve Bailey (''Summer Sizzler, quot; Aug. 11), at the killings in the city's poor neighborhoods. But there's no need to share his ignorance. He argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''UZIs and AK-47s could again be flooding the streets. quot; His ..."
3,Business,Oldsmobile: The final parking lot,"Why General Motors dropped the Oldsmobile. The four brand  paradoxes GM had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding."
4,Sci/Tech,AOL to Sell Cheap PCs to Minorities and Seniors (Reuters),Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service.
4,Sci/Tech,"Comets, Asteroids and Planets around a Nearby Star (SPACE.com)","SPACE.com - A nearby star thought to harbor comets and asteroids now appears to be home to planets, too. The presumed worlds are smaller than Jupiter and could be as tiny as Pluto, new observations suggest."
4,Sci/Tech,India Rethinks Plan to Send Man to Moon (AP),"AP - India is rethinking its plan to send a man to the moon by 2015, as the mission would cost a lot of money and yield very little in return, the national space agency said Thursday."
4,Sci/Tech,Nevada Ponders Superfund Status for Mine (AP),"AP - Pressured by a ranking senator from Nevada and the Environmental Protection Agency, Gov. Kenny Guinn says he might reconsider his opposition to a federal Superfund cleanup declaration for a huge abandoned mine contaminated with toxic waste and uranium."
4,Sci/Tech,"Mozilla To Add Support For XForms, World Yawns","It's ironic that Microsoft could help further cement its dominance in the browser market by joining its largest rival in an effort to support web standards.  nbsp;At the same time, that act would go a long way towards improving the web in general for developers and users alike."
4,Sci/Tech,Kerry's Disgusting Ad,"\\A few days ago Kerry sent around this ad:\\""Yesterday, the Bush-Cheney campaign, losing any last sense of decency, placed\a disgusting ad called ""The Faces of John Kerry's Democratic Party"" as the\main feature on its website. Bizarrely, and without explanation, the ad places\Adolf Hitler among those faces.""\\""The Bush-Cheney campaign must pull this ad off of its website. The use of\Adolf Hitler by any campaign, politician or party is simply wrong.""\\Which of course is a mistake.  I went and downloaded the video (which is just\stupid btw.  Not a masterpiece by any means.) and there are shots of Hitler in\there, but only from the MoveOn contest from a few months back.\\Here's the problem.  The ...\\"
4,Sci/Tech,Video games 'good for children',"Computer games can promote problem-solving and team-building in children, say games industry experts."
4,Sci/Tech,Google: Now Playboy's Latest Bunny,"Investors in the company that's trying to come off as cute as a bunny could find themselves holding a fistful of vipers if the founders of Google Inc. continue to do things like show up in Playboy magazine around the same time their company is going public. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
4,Sci/Tech,News: Climate Change Could Doom Alaska's Tundra,"In the next 100 years, Alaska will experience a massive loss of its historic tundra, as global warming allows these vast regions of cold, dry, lands to support forests and other vegetation that will dramatically alter native ecosystems. (Oregon State University press release)"
4,Sci/Tech,"Ancient Olympics Mixed Naked Sports, Pagan Partying","Nude athletes, performance-enhancing lizard meat, and animal sacrifices are just a few of the things that separate the ancient Olympics from the modern games, says the author of &lt;i&gt;The Naked Olympics.&lt;/i&gt;"
4,Sci/Tech,Trajectory Maneuver Brings Genesis Spacecraft Closer to Home,"Jet Propulsion Lab -- Thirty days before its historic return to Earth with NASA's first samples from space since the Apollo missions, the Genesis spacecraft successfully completed its twentieth trajectory maneuver.     At 12:00 Universal Time (5:00 a.m..."
4,Sci/Tech,Britain Approves Human Cloning,"By EMMA ROSS     LONDON (AP) -- Britain granted its first license for human cloning Wednesday, more than three years after becoming the first nation to authorize the technique to produce stem cells for medical research.    A team of researchers at Newcastle University hope eventually to create insulin-producing cells that could be transplanted into diabetic patients..."
4,Sci/Tech,"Lenovo revenue grows, but problems persist",China's largest PC maker sees surge in profits but loses market share to multinational companies.
4,Sci/Tech,Mosquito software bites smart phones,A possible Trojan horse hidden in an illegal cell-phone game hits smart phones using the Symbian operating system.
4,Sci/Tech,"VoIP gaining ground, despite cost concerns","The voice-over-IP market is growing, and by next year, 50 of all lines installed in the U.S. are expected to rely on VoIP technology -- despite continuing concerns that installations can be costly."
4,Sci/Tech,AOL Launches PC Line,"AOL courts novices, Spanish-speakers with budget PC that includes a year of AOL service."
