,cuerpo,fecha_hora,imagen,resumen,suplemento,titulo,url
0,"  El Ministerio de Agroindustria de la Nación, a través del Instituto Nacional de Semilla (INASE), publicó un informe acerca de la identificación de usuarios, variedades, superficies de siembra y uso de semillas. En el documento, elaborado por el Registro de Usuarios de Semillas (RUS), se desprende que la superficie sembrada con soja que fue de 18 millones de hectáreas para la última campaña, la información de las Declaraciones Juradas registrada alcanzan el 36,3 % de la superficie sembrada en todo el país, según un comunicado de la cartera agropecuaria. Mirá también Bajo el escrutinio del público Al comparar las cifras con la campaña anterior, sigue el comunicado, se observa un incremento del 4,25% en la superficie declarada, en tanto que el volumen de semilla sembrada aumentó un 12,52%. Entre ambas campañas, la cantidad de productores registrados creció un 14,95% en referencia a los productores incluidos en la categoría de Grandes Usuarios de Semilla (GUS). Si bien la evidencia del aumento es significativa, se debe a que en esta segunda campaña los grandes usuarios pasaron de 6.000 a 12.000. Mirá también El biodiésel, quemado por el proteccionismo Al analizar los establecimientos registrados (según el Registro Nacional Sanitario de Productores Agropecuarios -RENSPA-), se advierte que Buenos Aires, Córdoba y Santa Fe son las provincias donde se informó la mayor superficie sembrada para soja 16/17, las cuales representan un 33%, 25% y 15% respectivamente. En referencia a las variedades, los productores declararon en el RUS el uso de 501 cultivares diferentes de soja, de los cuales los 20 más utilizados acumulan el 50,40% de la superficie sembrada.  ", 10/10/2017 ,//images.clarin.com/2017/10/10/SJ21Dsq3Z_930x525.jpg,"De acuerdo a los datos relevados por el Instituto Nacional de Semillas (INASE), el área declarada creció 4,25% y alcanzó el 36,3 % del área sembrada en todo el país.",/lo-ultimo/,Soja: aumentó la superficie sembrada con semilla fiscalizada,http://www.clarin.com/rural/soja-aumento-siembra-semilla-fiscalizada_0_r1I84s53W.html
1,"  Políticos, economistas, funcionarios, empresarios, banqueros y, por supuesto, muchos periodistas se dieron cita hoy al mediodía en el hotel Alvear Icon para celebrar los 30 años del programa Sábado Tempranísimo, de Marcelo Bonelli, que se emite en Radio Mitre.Entre los primeros en llegar, Luis Betnaza (Techint), el presidente de la UIA, Miguel Acevedo y su homólogo de la Cámara de la Construcción, Gustavo Weiss, hablaban de la centralidad que están teniendo los créditos para la construcción, junto a Luis Rivaya, director del Nación y Fabián Tarrío (Came). El economista Miguel Bein aseguraba que las viviendas para la clase media empujarán fuerte al conjunto de la economía. Marcelo Mindlin, al frente del grupo Pampa que lidera en energía, apuntó que su sector está con mucho viento a favor en materia de inversiones.  Bonelli, fanático de Racing, se abrazó fuerte con Carlos Melconian que comparte ese sentimiento junto al ex embajador en Chile, Ginés González García.El jefe de Gobierno, Horacio Rodríguez Larreta y su segundo, Diego Santilli estaban de lo más requeridos por ansiosos que buscaban que les anticipen los últimos sondeos de cara a las elecciones de octubre. En cambio, el ministro de Transporte, Guillermo Dietrich, admitía que en el voto del conurbano la mejora en los trenes en cuanto a cumplir horarios y disminuir tiempos de viaje,tenía incidencia. Lo escuchaba Ricardo Gil Lavedra y Débora Pérez Volpin, devenida candidata a legisladora de la mano de Martín Lousteau.El ex ministro Jorge Remes Lenicov y el ex secretario de Hacienda, Jorge Sarghini recordaban viejos tiempos, como Guillermo Nielsen que acababa de regresar desde Ginebra donde el caso argentino de restructuración de deuda fue tomado como ejemplo global.Otro círculo estaba integrado por Jorge Porta (Radio Mitre) , Jorge Rendo, presidente del Grupo Clarín y Martín Etchevers, gerente de Comunicaciones, Adrián Kaufmann, directivo de Arcor y Jaime Campos, presidente de AEA.Asistieron escritores como Claudia Piñeiro, galeristas como José David y entre los periodistas, Magdalena Ruíz Guiñazú, Roberto Guareschi, Daniel Fernández Canedo y Pablo Maas. En ese ámbito se aseguraba que esta noche gana Argentina.  ", 10/10/2017 ,//images.clarin.com/2017/10/10/HJ7Cmic3Z_930x525.jpg,Los sondeos para las próximas elecciones y la marcha de la economía dominaron las conversaciones. También el partido de la selección.,/lo-ultimo/,"Políticos, empresarios y periodistas en la celebración de los 30 años de Sábado Tempranísimo",http://www.clarin.com/politica/politicos-empresarios-periodistas-celebracion-30-anos-sabado-tempranisimo_0_HyykQi5n-.html
2,"  En el Mercado de Liniers ingresaron 7.406 animales en 199 camiones a los que se sumaron 42 de remanente para una oferta total de 7.448 cabezas. La demanda trabajó con interés y la plaza mejoró con respecto al viernes entre un 2% y un 3% en general. La vaca se mantuvo.  Cargando video...  Las ventas resultaron ágiles y los mejores lotes de consumo marcaron diferencia con el resto.Se pagó hasta $38,20 por un conjunto de terneros livianos, máximo destacado que superó los mejores precios de toda la semana pasada.Informe de Julio Boutet.  ", 10/10/2017 ,//images.clarin.com/2017/08/30/r1Uxe_4F-_930x525.jpg,Las ventas resultaron ágiles y los mejores lotes de consumo marcaron diferencia con el resto.,/lo-ultimo/,Mercado de Liniers: entrada pobre y recuperación en los precios,http://www.clarin.com/rural/mercado-liniers-entrada-pobre-recuperacion-precios_0_Hksf7s93-.html
3,"  Cuando hace más de un año se supo del encuentro entre la actriz mexicana Kate del Castillo y el narcotraficante más famoso, Joaquín ""Chapo"" Guzmán, sobrevino un escándalo a nivel mundial. Ahora ella presenta su versión en el documental El día que conocí al Chapo: La historia de Kate del Castillo, que se estrenará en Netflix el 20 de octubre.""Estaba asustadísima"", resume ella en el trailer de presentanción. Ni el guión más audaz de Hollywood hubiera imaginado una trama como la que unió a la actriz con el capo narco -y a la que se sumó, además, una estrella como Sean Penn-. El objetivo era filmar una película sobre la vida de Guzmán y realizar una entrevista para la revista Rolling Stone. En esta serie de tres partes, Kate cuenta su versión de los hechos, con información exclusiva y material nunca antes visto, sobre cómo se gestionó el encuentro entre uno de los narcos más peligrosos y poderosos (jefe del Cartel de Sinaloa) y una de las actrices más famosas de México. Las posturas de del Castillo y Penn, posteriores al encuentro con Guzmán en la selva y con el escándalo que se desató, se vieron enfrentadas. Y aún hoy, ambos discuten sobre lo que pasó.El encuentro entre los tres se produjo a medidados de 2015 en la clandestinidad de la selva mexicana, mientras el Chapo se encontraba prófugo de la Justicia. Kate recibió muchas críticas y hasta la acusaron de mantener una relación sentimental con el narco. Por eso ella decidió contar lo que pasó, en primera persona.Antes de que la actriz viajara a algún lugar que no le fue revelado, había sido contactada por el Chapo para que fuera ella quien se ocupara de hacer la película sobre su vida.El Chapo le mandó una carta desde la prisión donde se encontraba. Poco después, se escapó de la cárcel a través de un túnel, en una fuga espectacular que puso en jaque al Gobierno mexicano y lo dejó en ridículo. Al parecer, Guzmán estaba fascinado, casi obsesionado con la actriz, especialmente desde que ella protagonizara La Reina del Sur, una miniserie en la que interpretaba a una líder de un cartel de la droga.Luego de su fuga de la cárcel, los abogados de Guzmán la localizaron para pedirle el encuentro. Y comenzó una negociación.""¿Por qué yo?"", quiso saber la actriz. ‘Porque la admira, la respeta y confía en usted plenamente. Le tiene respeto porque usted habla la verdad, no se anda con poses, porque es valiente y porque quiere que actúe en su película, ya que le gustó mucho su trabajo en La Reina del Sur”, le dijeron sus voceros.Guzmán fue arrestado en el estado de Sinaloa, seis meses después de haberse escapado de la prisión de máxima seguridad, y poco después del encuentro que tuvo con del Castillo. El intercambio de mensajes por teléfono celular entre ambos, interceptado por los servicios de inteligencia mexicanos, sirvieron para recapturarlo.En esos mensajes se nota la confianza entre ambos. Él la llama ""hermosa"" y ""amiga"": ""Ten fe que estarás a gusto. Te cuidaré más que a mis ojos"", le dijo Guzmán en uno de los mensajes, antes del viaje de ella a un lugar desconocido donde se produjo el encuentro. Guzmán estaba en medio de la selva, casi inaccesible y aislado por las continuas lluvias. La historia real tiene todos los ingredientes ideales que amaría cualquier guionista. La serie es producida por 25/7 Productions y por la misma Kate, y el director es Carlos Armella.  ", 10/10/2017 ,//images.clarin.com/2017/03/22/rklJ62W3x_930x525.jpg,La actriz filmó una serie para Netflix en la que detalla cómo fue el cara a cara con el narcotraficante más famoso. Se estrena el 20.,/lo-ultimo/,Kate del Castillo cuenta su versión del encuentro con el Chapo Guzmán,http://www.clarin.com/espectaculos/fama/kate-castillo-cuenta-version-encuentro-chapo-guzman_0_BJiyZcqhZ.html
4,"  En la pelea contra el efectivo y a favor del uso de medios de pago electrónicos, el Gobierno sumó un aliado importante. Desde esta semana la cadena Carrefour aceptará la billetera móvil PIM -desarrollada por el Banco Nación- como medio de pago en sus 594 sucursales de todo el país.Para impulsar el uso de PIM, Carrefour tentará a los usuarios con un descuento del 10% sobre toda la compra, que estará vigente todos los días hasta el 31 de diciembre próximo. Mirá también La ANSeS empieza a pagar planes sociales a través del celularPIM es el medio de pago que está motorizando el Gobierno, a través del principal banco público del país, para intentar sacar el dinero en efectivo de las calles. Es una billetera que funciona en todo tipo de celular, incluso en los denominados 2G -los más básicos- y la ANSeS quiere pagar planes sociales a través de este mecanismo. Mirá también El Banco Nación lanza una billetera telefónica para pagar planes sociales y atraer a los que no usan bancosDe hecho, a pedido de los beneficiarios, ya se pueden percibir vía PIM los planes Progresar (para estudiantes secundarios) y Hogar (para compra de garrafa social). Por el uso del PIM, los individuos no pagan comisiones.Para Carrefour, sería, sobre todo, una herramienta para poder competir contra los comercios chicos (almacenes, minimercados “chinos”) de zonas de bajo poder adquisitivo, donde el uso del dinero en efectivo está muy arraigado, precisamente porque dichos comercios no aceptan medios de pago como tarjetas de débito o crédito para evitar la mirada de la AFIP. Mirá también Lanzan otra billetera virtual con la mira en el mercado del efectivo y los planes socialesY también, claro, a Carrefour le sirve para agilizar su administración de dinero. Se calcula que el efectivo representa cerca del 30% de la facturación diaria de las grandes cadenas de supermercados. Pero hoy el costo de administrar esos billetes (contarlo, almacenarlo, custodiarlo y transportarlo) está más o menos parejo con lo que les cuesta a los hipermercados el pago de aranceles a las tarjetas de crédito.Hoy PIM ya cuenta con 260.000 usuarios adherentes y 22.000 comercios que lo aceptan como medio de pago. El Nación está avanzando en negociaciones con las grandes marcas, y están hoy en la etapa de poner a punto sus sistemas informáticos y de cobranza.  ", 10/10/2017 ,//images.clarin.com/2017/10/10/HkMbgsq2b_930x525.jpg,"El sistema de pago PIM que desarrolló el Banco Nación empieza a ser aceptado en los locales Carrefour. Para impulsar su uso, la cadena ofrece descuentos del 10%.",/lo-ultimo/,La billetera móvil del Banco Nación llega a los hipermercados,http://www.clarin.com/economia/economia/billetera-movil-banco-nacion-llega-hipermercados_0_SJKVys9nZ.html
5,"  A Eleonora Wexler le gusta decir que su personaje es “una sobreviviente”. En Golpe al corazón (lunes a viernes, a las 22.30, por Telefe), la actriz es una médica que en algún momento de su vida perdió la vista; se crió sola, con una madre que la abandonó y un padre complicado. Hasta ahí los ingredientes básicos de cualquier culebrón. Para construir a la mujer que se enamora de un enfermero (Sebastián Estevanez), pidió ayuda a la familia. Su hermana y su cuñado son médicos. Y cuenta que pasó largas horas arriba de una ambulancia de urgencias. La gente no entendía qué hacía una actriz tan popular como ella en el medio de esas escenas de cruda realidad médica. “Muchas veces, la cuestión médica era accesoria porque lo que necesitaban era una ayuda social”, recuerda Wexler, mientras cuenta sus visitas a distintas villas con la ambulancia.Sonrisa plena. Wexler es madre de una adolescente de 14 años. Foto: Ariel GrinbergLa actriz que comenzó su carrera a los 8 años combina el papel de heroína en una telenovela clásica de Quique Estevanez con otro trabajo totalmente distinto en Un gallo para Esculapio (martes a las 22 en TNT y miércoles a las 23.15 en Telefe), una de las excelentes ficciones que se estrenaron en un 2017 magro en producciones locales. Con el sello de Sebastián Ortega y Bruno Stagnaro, la historia es una fotografía realista del mundo de las riñas de gallo y los piratas del asfalto, con el conurbano más áspero como telón de fondo.En ese micromundo, Wexler es Estela, una mujer que establece una relación con Nelson (Peter Lanzani), un joven del interior que llega a Buenos Aires con un gallo de riña para su hermano. En una pausa de las grabaciones de Golpe..., mientras la maquillan en un camarín diminuto, la actriz habla de cómo navega en los dos registros tan distintos, de la magra producción local de este año y de por qué los directores le dan siempre papeles de mujeres impulsivas.-¿Qué te gusta de Marcela Ríos, tu personaje en “Golpe al corazón”?-Es un personaje precioso, una sobreviviente. Hay una historia que todavía no se destapó del todo: se crió solita porque tuvo un padre primero presente y luego no tanto. Y una madre que la abandonó. En el medio de todo eso, estudiaba, trabajaba y se quedó ciega después de un ataque. Es una mina muy humana. Hay algo que me encanta de la carnadura del personaje. Creo que prevalece lo humano frente a lo burocrático de la medicina. Ahora se está redescubriendo como mujer. Después de un accidente, termina casándose con su profesor, un tipo bastante oscuro al que siente que le debe algo. Después conoce al personaje de Sebastián (Estevanez), que le da una visión positiva de la vida y la divierte.Historia de amor. Entre la médica de Wexler y el enfermero que compone Sebastián Estevanez, en ""Golpe al corazón"".-El mundo de la medicina es el escenario de la trama. ¿Te parece un ambiente rico para contar esta historia?Conviven muchas horas y tienen diferencias bien marcadas entre los médicos y enfermeros, que no tienen mucha conexión entre sí. Está el mundo de los cirujanos, el de los radiólogos y el de los emergentólogos. Son palos diferentes. En esta novela, mi personaje -que es médico- se enamora de un enfermero. La tira no tiene una postura machista. La mirada está puesta en el amor y en la conexión. Son dos pibes de barrio, que se hicieron de abajo.-Tu hermana y tu cuñado son médicos. ¿Cómo te ayudaron para construir tu personaje?-Eso estuvo bárbaro y es lo lindo de nuestro trabajo. Podemos jugar a investigar. Me ponía el guardapolvo y salía con mi hermana a las recorridas de urgencia en la ambulancia. Me gustó ver la cuestión social en la calle y cómo ella se desenvolvía en esas situaciones.-Cuando arrancaron, tenían más de 30 capítulos grabados. ¿Te da tranquilidad saber que la historia no sufrirá volantazos bruscos, a raíz del rating?-Estoy sorprendida. Es una enorme tranquilidad porque cada personaje tiene el color que debe tener y no se desvía la historia. Si no fuese así, comenzás haciendo comedia porque funciona y después te vas al drama. Y así se desvirtúa todo. Los autores empiezan a hacer magia, los productores se desesperan y los actores hacemos lo que podemos. Termina siendo un “sálvese quién pueda...” El Titanic mismo.-“Un gallo para Esculapio” no tiene nada que ver con la novela. ¿Te gusta transitar caminos tan diferentes?-¡Es too much! La idea era no juntar los dos trabajos, pero finalmente terminó sucediendo y está buenísimo. En la novela, soy una doctora que se enamora del enfermero. Y luego paso a contar una historia en un mundo masculino, con piratas del asfalto y riñas de gallo. Hubiese sido genial que haya un tiempo para cada cosa, pero no pasó.-Todo un mundo y una estética que no conocías...-Exacto. El papel me llegó a través de Bruno Stagnaro, que sabe con claridad lo que quiere contar, desde las locaciones a la iluminación y pasando por la historia. Todos los personajes están bien dirigidos. Es un mundo más complejo de construir, muy distinto al que vengo haciendo. Está más alejado del costumbrismo. Acá no va la improvisación del che, boludo.-En el caso de ambas ficciones, interpretás a una mujer impulsiva, mandada en muchas cosas. Y esa característica acompañó a mucho de tus personajes. ¿Pensás que los directores ven algo de eso en tu personalidad?-¿Qué ven? Deben ver algo impulsivo. No sé si llego a lo compulsivo. Quizá doy una imagen más intensa que liviana para contar una historia. El carácter fuerte es parte de mi naturaleza. Me encantaría ir por otros caminos, pero no me va a suceder porque no doy mucho el physique du rôle. Estoy pensando si tengo personajes que no vayan por ese lado. Quizá más en el teatro que en la tele. Mi personaje en Golpe al corazón tiene fuerza, pero también está muy bajo el ala de su marido. Siente que está en un lugar que no se merece.-Vos llevás muchos años trabajando en la televisión y la conocés bien de adentro. ¿En qué te parece que fallaron las producciones locales? ¿Por qué hay menos historias propias y la audiencia va disminuyendo?-No lo sé. Me lo pregunto igual que vos. ¿Por qué las historias no engancharon? Tenemos excelentes autores, actores y directores, que hicieron cosas maravillosas. No sé qué pasó.-¿Las razones no son sólo económicas?-Quizá no sea algo exclusivamente económico. Me pregunto qué sucedió para que, en un momento, la gente haya comenzado a comprar más las cosas de afuera que la propia industria. De todas formas, sigo pensando que, cuando un producto es bueno, la gente lo toma. Por ejemplo, Un gallo para Esculapio. Está buenísimo y la gente lo compró, pero no tiene un gran rating. Son programas de nicho. Lo más popular tiene que ver con el culebrón (ver recuadro), aunque sean de afuera. Las grandes producciones quizá gustaron por algo exótico y culturalmente distinto a lo que se veía. Quizá el costumbrismo cansó.-¿Te da esa sensación?A veces me da esa impresión. Por eso, ADDA (Amar después de amar), que fue un policial diferente, funcionó. En algún punto, siento que cansó un poco o quizá yo estoy cansada de ver costumbrismo en la televisión. Tengo ganas de ver otras cosas.-Vos comenzaste tu carrera a los 8 años y nunca más paraste. ¿Qué tiene de bueno y qué de malo haber crecido en el medio?-Tiene muchas cosas buenas. Aprendés a moverte y tenés cintura para estar en el medio, aunque nunca dejás de aprender. Eso te da cierta tranquilidad porque conocés el oficio y te vas adaptando. Tus compañeros te vieron crecer y también te conocen.-¿Y la contra?-Hay cosas que no viví de chica. Me hice adulta de golpe. Por ejemplo, no fui al viaje de egresados del colegio. Viví en un mundo de adultos y no tuve mucho tiempo para ser nena. Me di cuenta al ver las cosas que vive mi hija. Es lo que me tocó. Si me preguntás, ¿te arrepentís de no haber ido de viaje con tus compañeros? Te diría que no. Sigo eligiéndolo. Sí siento que hay algo de la niñita que me perdí. Yo jugaba con el libreto y poco con juguetes.-Supongo que también te debe moldear la personalidad. El libreto es para estudiar y se necesita disciplina.-Claro que hay algo de exigencia en esa escena.-La exigencia puede ser brava.Muy brava. ¡Y la autoexigencia es todavía peor! Por eso uno tiene que aprender a reírse de uno mismo y que fluya más la cosa.Actriz del Teatro San MartínHasta hace algunas semanas, Eleonora Wexler estuvo haciendo funciones de Umbrío, una obra del catalán Josep Maria Miró, dirigida por Luciano Suardi en el Teatro San Martín. “Fue una temporada maravillosa y un placer tremendo reinaugurarlo después de las refacciones. Actué en la sala Cunill Cabanellas, la única en la que no había trabajado en ese teatro. Con un gran elenco, hicimos una obra particular y perturbadora. Lo pasé espectacular”, dijo Wexler, que estuvo acompañada en escena por Gaby Ferrero, Pedro Merlo, Alejandro Paker y William Prociuk. Ahora le gustaría transitar por géneros pocos conocidos para ella. “Tengo una propuesta de musical y me encantaría porque hace mucho tiempo que no hago. Todavía no puedo adelantar mucho. También me dan ganas de hacer cine”.El vértigo del oficio Desde que actuó en la comedia musical Annie, a inicios de los 80, Eleonora Wexler no paró de trabajar en teatro, televisión y cine. En la recta final de un año intenso, que tuvo una obra y dos programas al aire, la actriz dice que quiere parar un poco la pelota. “Todavía no sé qué quiero hacer. Recién ahora estoy bajando un poco la adrenalina de un año de trabajo intenso, que me encantó pero también me cansó un poco. Cada tanto, viene la necesidad de frenar. Necesito estudiar, hacer un curso de algo o quedarme en mi casa tranquila con mi hija”, cuenta.Wexler es mamá de Miranda (14). “Está buenísimo ser madre de una adolescente, pero cada tanto digo: '¡Mamita querida. Lo que me espera!' Hablo con otros padres y me quedo tranquila cuando veo que todos estamos en la misma. Yo también, en su momento, se la hice difícil a mis viejos”.Reina de culebronesGolpe al corazón es producida por Quique Estevanez, un especialista en culebrones en la televisión argentina. Y Eleonora Wexler es una actriz que le puso el cuerpo a varias de estas historias. Pese a los cambios en la ficción, ella cree que es un género popular y que sigue funcionando en el público masivo. “Quique es un especialista en el tema y los hace muy bien. Siempre están las historias de diferencias de clase, del pobre y de la rica. O los buenos, que son muy buenos, y los malos que casi siempre son malísimos. Todo el mundo espera hasta que, finalmente, los protagonistas terminan juntos”.De todas formas, Wexler piensa que Golpe al corazón da un paso más allá con un culebrón coral, con un elenco numeroso y potente. “Las historias abarcan diferentes públicos, desde los pibes hasta la generación de Germán Kraus y Claudia Lapacó. Da un paso más allá con la cobertura de temas sociales, como la violencia de género, las capacidades diferentes o la cuestión Malvinas. Y muchas de las historias transcurren en la clínica; a partir de eso hablamos de la burocracia de la medicina y de su parte más humana”.En la pelea por el rating, Golpe al corazón le pelea el podio a Las Estrellas, aunque el prime time por ahora es de la novela de El Trece.  ", 10/10/2017 ,//images.clarin.com/2017/10/09/HkU_ZbthW_930x525.jpg,"En ""Golpe al corazón"", la telenovela de Telefe, compone a una médica que se enamora de un enfermero. Cuenta que salió en ambulancia con su hermana doctora, para aprender de la profesión. También se luce en ""Un gallo para Esculapio"".",/lo-ultimo/,"Eleonora Wexler, una mujer que va al frente",http://www.clarin.com/espectaculos/tv/eleonora-wexler-mujer-va-frente_0_ByEh3eYnZ.html
6,"  Un clásico del deporte nacional empezó en su versión 2017. Se trata de la acción deportiva de los Juegos Nacionales Evita 2017 de Mar del Plata de la que participan más de 20 mil jóvenes de todo el país que competirán en 33 disciplinas hasta el 14 de octubre.La primera jornada incluyó la pruebas de natación, que contó con la presencia del campeón mundial José Meolans. ""Estoy feliz de estar presente en el evento más importante del país y me pone contento ver a los chicos compitiendo. Ojalá muchos de ellos sean el futuro del deporte argentino"", dijo el cordobés, luego de entregar las primeras medallas.José Meolans, prensente en los Juegos Evita 2017. (SecretariadeDeportesdelaNacion) Durante el primer día de competencia, chicos de entre 12 y 18 años, participaron de diferentes actividades deportivas individuales y grupales. También se realizarán eventos culturales y artísticos.  ", 10/10/2017 ,//images.clarin.com/2017/10/10/r141i9q3W_930x525.jpg,"El cordobés no faltó a la acción deportiva en la que participan más de 20 mil jóvenes de todo el país en 33 disciplinas, hasta el 14 de octubre.",/lo-ultimo/,José Meolans estuvo presente en la apertura de los Juegos Evita 2017,http://www.clarin.com/deportes/polideportivo/jose-meolans-presente-apertura-juegos-evita-2017_0_SyNJc992Z.html
7,"  Adrián Suar se sumó a una campaña solidaria que al principio se prestó a confusión. ""Una persona con esquizofrenia me agarró a la salida de Pol-Ka"", escribió en Twitter y en Instagram y logró que cientos vieran el video en cuestión. Esto me pasó hoy. Una persona con esquizofrenia me agarró a la salida de Pol-ka. #MenosEstigmaSuma pic.twitter.com/1Ec4Z0GevX— Adrián Suar (@ElchuecoSuar) October 10, 2017""¿Qué pensaste? ¿Que me iba a hacer algo? Que tenga un trastorno mental no lo hace peligroso. Sacarnos el prejuicio, ayuda a su recuperación"", asegura el actor en el video.Se trata de una campaña en el día mundial de la salud mental. ""Proyecto suma"" estuvo a cargo de la movida contra la estigmatización. ""Como consecuencia de la discriminación y la negación de derechos, deben esconder su trastorno y sumar a sus propias dificultades las provenientes de sentirse no valoradas e incluidas por la sociedad"", afirma el Dr. Gustavo Guardo, Presidente de Proyecto Suma.La esquizofrenia es un diagnóstico psiquiátrico que se utiliza para personas con un grupo de trastornos mentales caracterizados a menudo por conductas que resultan incómodas para la sociedad. La campaña pretende advertir que muchos sufren más por el estigma y la exclusión social que por los síntomas de su enfermedad.Suar, de 49 años, que hace unas semanas presentó su nueva película, ""El fútbol o yo"" (comedia romántica sobre obsesiones y crisis de pareja) suele usar sus redes sociales para promocionar temas solidarios. Desde ""Un sol para los chicos"" (la mega movida anual que impulsa junto a Unicef) a distintos pedidos de ayuda de particulares. El ya ex de Griselda Siciliani (y padre de Margarita y Tomás) obtuvo su estrella en la calle Corrientes hace unos días, como reconocimiento a más de tres décadas de trabajo.  Orgulloso y feliz de tener mi estrella en la calle Corrientes. Gracias por este reconocimiento! #EstrellasDeCalleCorrientes” pic.twitter.com/glm3lHMmmP— Adrián Suar (@ElchuecoSuar) September 23, 2017  ", 10/10/2017 ,//images.clarin.com/2016/09/26/rkewmTc2me_930x525.jpg,El Gerente de contenidos de El Trece sorprendió con un contenido que subió a sus cuentas de Twitter y de Instagram.,/lo-ultimo/,"Adrián Suar: ""Una persona con esquizofrenia me agarró a la salida de Pol-Ka""",http://www.clarin.com/espectaculos/fama/adrian-suar-persona-esquizofrenia-agarro-salida-pol-ka_0_S1Qekq93Z.html
8,"  Sebastián Ceci es hincha de Boca, Gastón Gregorio de River. Se conocieron en Miami, donde viven desde hace 20 años, y los une la pasión Argentina.Los dos tienen 33 años, Sebastián está casado con una cubana y tienen un hijo de 3 años. Es de San Clemente del Tuyú y trabaja en la construcción. Gastón también está casado y espera para febrero su primera hija. Es de Luis Guillón y trabajo como bancario. Mirá también ¿Le conviene a la Selección jugar contra un equipo eliminado?Estuvieron en el Hilton Colón de Quito para recibir a la Selección, pero se quedaron con las ganas de que les firmen una camiseta. No se los nota demasiado nerviosos: ""En las malas, mucho más"", dicen a coro sobre su fidelidad hacia la celeste y blanca.Los hinchas argentinos que volaron de Miami a Quito para alentar a la Selección.""Vamos a todas partes que podemos"", cuentan. ""El mejor recuerdo es el 4-3 ante Brasil, con el golazo de Messi, en Nueva Jersey"". Siempre que la que Selección juega en Estados Unidos ellos dan el presente, pero también estuvieron en Colombia y hoy están en Quito.  Mirá también Ecuador-Argentina: un apoyo especial para la SelecciónCuentan que una vez le pusieron una bandera contra Bielsa ""y ahora me arrepiento"", dice Gastón. No les gusta Sampaoli, ""pero si sale campeón del mundo lo vamos a amar"", afirma Sebastián. Gastón, como buen hincha de River, dice que preferiría a Gallardo, pero sin complejos asegura que ""Festejé el gol de Palermo a Perú"". Además, cuenta: ""Yo banco al Pipa Higuaín"". Mirá también La AFA no quiere problemas: vallaron las inmediaciones del edificio de Viamonte""Argentina está mal de la cabeza"", coinciden otra vez, pero están confiados en un triunfo para esta tarde. De hecho, ya empezaron a gestionar la visa para Rusia.  ", 10/10/2017 ,//images.clarin.com/2017/10/10/BJ9rY99h-_930x525.jpg,Sebastián Ceci y Gastón Gregorio dejan de lado sus diferencias y se unen por la pasión Argentina.,/lo-ultimo/,"Ecuador-Argentina: son de Boca y de River, viven en Miami y alientan a la Selección",http://www.clarin.com/deportes/seleccion-nacional/ecuador-argentina-boca-river-viven-miami-alientan-seleccion_0_r1CUb9chZ.html
9,"  El gobernador de Chubut, Mario Das Neves, se encuentra realizando controles médicos programados desde ayer a las 18 horas en la Clínica San Miguel, de la ciudad de Trelew. El mandatario se somete a dichos controles médicos, bajo la supervisión de los profesionales de la clínica de esa ciudad, según explicó hoy una información oficial del gobierno. Das Neves sería dado de alta en las próximas horas y volvería a la mencionada clínica mañana para completar sus estudios.El gobernador chubutense padece un cáncer desde hace dos años lo que lo obliga a controles en forma periódica. ""La internación de ayer tiene que ver con un problema renal y no con el problema de salud que lo aqueja desde hace dos años"", confió a Clarín una fuente del gobierno.Das Neves viene cumpliendo sus funciones institucionales en forma moderada por prescripción médica lo que no le impidió participar de varios actos ahora suspendidos debido a la veda electoral con vistas a las elecciones del domingo 22 de octubre.Cabe recordar que el candidato a diputado nacional en primer término por el partido frente electoral liderado por Das Neves ""Chubut Para Todos"" es el actual vicegobernador Mariano Arcioni quien se encuentra de gira por el interior de la provincia.  ", 10/10/2017 ,//images.clarin.com/2017/07/27/BJtVmQDD-_930x525.jpg,Lo informó el gobierno de la provincia. A última hora le darían el alta y volvería a la residencia oficial.,/lo-ultimo/,"Internaron a Das Neves para realizarle""controles médicos programados""",http://www.clarin.com/politica/internaron-das-neves-realizarle-controles-medicos-programados_0_Sk2sP5qnZ.html
