date,value
2010-01-01,11.433279
2010-02-01,11.419061
2010-03-01,13.021428
2010-04-01,13.493637
2010-05-01,11.697824
2010-06-01,10.316978
2010-07-01,11.606495
2010-08-01,10.425686
2010-09-01,11.700096
2010-10-01,11.619831
2010-11-01,11.482017
2010-12-01,13.266337
2011-01-01,14.723352
2011-02-01,15.293575
2011-03-01,14.758993
2011-04-01,15.053436
2011-05-01,14.457192
2011-06-01,13.883023
2011-07-01,13.292138
2011-08-01,12.104679
2011-09-01,11.295723
2011-10-01,12.520485
2011-11-01,11.921059
2011-12-01,13.419620
2012-01-01,14.155078
2012-02-01,14.412304
2012-03-01,15.318287
2012-04-01,14.944305
2012-05-01,14.570307
2012-06-01,15.905992
2012-07-01,16.017065
2012-08-01,15.986185
2012-09-01,17.529989
2012-10-01,16.380501
2012-11-01,16.434952
2012-12-01,16.326056
2013-01-01,17.487564
2013-02-01,18.225370
2013-03-01,18.295362
2013-04-01,17.638565
2013-05-01,18.453634
2013-06-01,18.350758
2013-07-01,19.438534
2013-08-01,18.457434
2013-09-01,19.055670
2013-10-01,21.010942
2013-11-01,21.428913
2013-12-01,22.530098
2014-01-01,20.362556
2014-02-01,20.638052
2014-03-01,21.161667
2014-04-01,21.979031
2014-05-01,21.897297
2014-06-01,21.480440
2014-07-01,20.726381
2014-08-01,21.410393
2014-09-01,21.113714
2014-10-01,21.449932
2014-11-01,22.015059
2014-12-01,21.001154
2015-01-01,20.041199
2015-02-01,21.802876
2015-03-01,21.004303
2015-04-01,22.926104
2015-05-01,23.086960
2015-06-01,22.494339
2015-07-01,22.284376
2015-08-01,21.191507
2015-09-01,21.533028
2015-10-01,24.913105
2015-11-01,25.791777
2015-12-01,26.834131
2016-01-01,25.255661
2016-02-01,25.290380
2016-03-01,27.811167
2016-04-01,26.901337
2016-05-01,26.446421
2016-06-01,27.539967
2016-07-01,27.448904
2016-08-01,27.537054
2016-09-01,26.109070
2016-10-01,25.850901
2016-11-01,27.325562
2016-12-01,28.071775
2017-01-01,26.582476
2017-02-01,26.680929
2017-03-01,26.884716
2017-04-01,26.153957
2017-05-01,24.701462
2017-06-01,24.367657
2017-07-01,23.299522
2017-08-01,22.335150
2017-09-01,21.998535
