gender;age;education_level;institution_type;IT_student;location;electricity_supply;financial_condition;internet_type;network_type;class_duration;learning_system;device;adaptivity_level;ID_student
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Tab;Moderate;UN0
Girl;21-25;University;Non Government;No;Yes;High;Mid;Mobile Data;4G;01-mar;Yes;Mobile;Moderate;UN1
Girl;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CG2
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN3
Girl;16-20;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN4
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN5
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN6
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SN7
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CG8
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN9
Girl;16-20;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG10
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN11
Boy;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN12
Girl;16-20;College;Non Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN13
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN14
Boy;nov-15;School;Non Government;No;Yes;High;Poor;Wifi;4G;01-mar;No;Mobile;Low;SN15
Girl;26-30;University;Government;Yes;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Computer;Low;UG16
Girl;21-25;University;Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG17
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN18
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CN19
Girl;06-oct;School;Non Government;No;Yes;Low;Rich;Wifi;4G;01-mar;No;Mobile;High;SN20
Boy;06-oct;School;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;SG21
Girl;16-20;College;Non Government;No;No;Low;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Low;CN22
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN23
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CG24
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN25
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN26
Boy;26-30;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Moderate;UN27
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN28
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CN29
Girl;06-oct;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN30
Girl;16-20;College;Non Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CN31
