Estación,Línea,Barrio
9 de Julio,,San Nicolás
Acoyte,,Caballito
Agüero,,Recoleta
Alberti,,Balvanera
Ángel Gallardo,,Almagro
Avenida de Mayo,,Monserrat
Avenida La Plata,,Boedo
Belgrano,,Monserrat
Boedo,,Boedo
Bolívar,,Monserrat
Bulnes,,Palermo
Callao,,Balvanera
Callao,,Recoleta
Carabobo,,Flores
Carlos Gardel,,Balvanera
Carlos Pellegrini,,San Nicolás
Caseros,,Parque Patricios
Castro Barros,,Almagro
Catalinas,,Retiro
Catedral,,San Nicolás
Congreso,,Balvanera
Congreso de Tucumán,,Belgrano
Constitución,,Constitución
Córdoba,,Recoleta
Correo Central,,San Nicolás
Corrientes,,Balvanera
De los Incas - Parque Chas,,Parque Chas
Diagonal Norte,,San Nicolás
Dorrego,,Chacarita
Echeverría,,Villa Urquiza
Emilio Mitre,,Parque Chacabuco
Entre Ríos - Rodolfo Walsh,,San Cristóbal
Facultad de Derecho - Julieta Lanteri,,Recoleta
Facultad de Medicina,,Recoleta
Federico Lacroze,,Chacarita
Florida,,San Nicolás
General San Martín,,Retiro
General Urquiza,,San Cristóbal
Hospitales,,Parque Patricios
Humberto I,,San Cristóbal
Inclán - Mezquita Al Ahmad,,Parque Patricios
Independencia,,Constitución
Independencia,,Constitución
José Hernández,,Belgrano
José María Moreno,,Caballito
Juan Manuel de Rosas - Villa Urquiza,,Villa Urquiza
Jujuy,,San Cristóbal
Juramento,,Belgrano
Las Heras,,Recoleta
Lavalle,,San Nicolás
Leandro N. Alem,,San Nicolás
Lima,,Monserrat
Loria,,Almagro
Malabia - Osvaldo Pugliese,,Villa Crespo
Medalla Milagrosa,,Flores
Medrano - Almagro,,Almagro
Ministro Carranza,,Palermo
Moreno,,Monserrat
Olleros,,Colegiales
Once - 30 de Diciembre,,Balvanera
Palermo,,Palermo
Parque Patricios,,Parque Patricios
Pasco,,Balvanera
Pasteur - AMIA,,Balvanera
Perú,,Monserrat
Pichincha,,San Cristóbal
Piedras,,Monserrat
Plaza de los Virreyes - Eva Perón,,Flores
Plaza de Mayo,,Monserrat
Plaza Italia,,Palermo
Plaza Miserere,,Balvanera
Primera Junta,,Caballito
Puan,,Caballito
Pueyrredón,,Balvanera
Pueyrredón,,Recoleta
Retiro,,Retiro
Retiro,,Retiro
Río de Janeiro,,Almagro
Sáenz Peña,,Monserrat
San José,,Constitución
San José de Flores,,Flores
San Juan,,Constitución
San Pedrito,,Flores
Santa Fe - Carlos Jáuregui,,Recoleta
Scalabrini Ortiz,,Palermo
Tribunales - Teatro Colón,,San Nicolás
Tronador - Villa Ortúzar,,Villa Ortúzar
Uruguay,,San Nicolás
Varela,,Flores
Venezuela,,Balvanera
