,Unnamed: 0,distance_subway
0,0,4728
1,2,6073
2,3,5305
3,7,609
4,8,609
7,16,3779
8,19,665
9,21,162
10,29,546
11,35,585
13,47,1121
14,48,25
15,51,344
16,52,251
17,53,200
18,54,344
19,55,344
20,57,97
21,59,151
22,60,521
23,66,254
24,97,186
25,98,244
30,120,409
32,137,564
33,141,307
34,157,366
35,166,276
36,167,86
38,187,1339
39,200,244
40,203,515
42,207,369
43,208,325
45,210,25
46,214,344
47,215,197
48,216,363
49,217,344
50,218,369
51,219,425
52,220,681
53,221,681
54,222,312
55,223,372
56,225,792
57,226,792
58,227,328
59,229,102
60,230,617
61,231,1161
62,241,118
63,244,929
65,252,1236
66,253,25
67,254,4022
68,255,458
69,256,518
70,258,631
71,259,1029
72,260,294
75,270,1285
76,270,1285
77,271,1285
78,271,1285
79,277,184
80,282,798
87,340,693
88,341,1001
89,351,1141
90,352,1141
91,353,1141
92,354,1141
93,355,1141
94,356,1141
95,357,1141
96,358,1141
97,359,1141
98,360,1141
99,361,1141
100,362,1141
101,363,1141
102,364,1141
103,365,1141
104,366,1141
105,367,1141
106,368,1141
107,370,386
108,378,368
109,379,1186
110,381,1155
113,384,1009
114,385,795
115,386,632
116,388,253
117,389,175
119,400,1155
120,401,1155
121,403,854
122,405,363
123,411,105
124,412,661
126,419,2573
127,420,608
128,422,279
129,429,3487
130,434,765
131,435,765
132,443,212
133,444,318
134,450,381
135,476,327
136,488,2807
138,496,1887
145,544,3769
146,545,3803
147,546,3803
148,547,3803
149,548,2454
150,549,757
151,550,3125
152,551,3824
153,555,916
154,556,696
155,557,3172
156,558,344
157,559,2715
158,560,2554
159,564,1738
160,565,795
161,567,502
162,636,458
163,637,696
165,639,1738
166,640,1998
167,641,122
168,643,458
169,645,458
170,647,130
171,648,130
172,652,477
173,655,477
174,656,603
175,681,365
176,690,333
177,691,886
178,692,886
179,693,885
180,694,887
181,695,887
182,696,129
184,698,458
185,699,271
186,700,271
188,715,1343
189,720,502
190,728,309
191,729,309
192,730,309
193,731,309
194,732,309
195,733,309
196,734,309
197,735,309
198,736,309
199,737,309
200,738,309
201,739,309
202,740,309
203,741,309
204,742,309
205,743,309
206,744,309
207,746,163
208,748,530
209,749,530
210,751,330
211,753,384
212,781,1002
213,783,2641
214,784,2338
216,786,3436
217,787,327
218,789,299
219,790,776
221,805,640
222,816,962
223,817,961
224,818,257
225,819,4410
227,827,3008
228,828,1844
229,829,2974
230,838,91
231,839,150
232,840,430
236,867,352
237,868,1292
238,868,1292
239,869,1025
240,870,1292
241,870,1292
242,871,512
244,877,111
245,882,1247
246,887,74
247,888,75
248,890,66
249,891,1018
250,893,237
252,913,295
253,914,628
254,927,309
255,929,455
257,958,159
258,959,159
259,960,159
261,965,159
262,967,798
263,969,159
264,970,159
265,971,159
266,972,159
267,973,159
268,979,263
270,981,929
271,982,658
272,983,725
273,984,725
274,989,1139
275,990,755
277,1008,224
278,1009,388
279,1014,423
285,1090,627
286,1091,2979
287,1092,477
288,1093,150
289,1094,1521
290,1097,1574
291,1098,489
292,1099,489
293,1100,489
294,1101,489
295,1102,489
296,1103,489
297,1104,489
298,1105,489
299,1106,489
300,1107,489
301,1108,489
302,1109,489
303,1110,489
304,1111,489
305,1112,489
306,1113,489
307,1114,489
308,1115,489
309,1116,489
310,1117,489
311,1118,489
312,1119,1521
319,1142,599
321,1153,1521
322,1154,1521
323,1155,1521
324,1156,610
325,1157,610
326,1158,610
327,1159,610
328,1162,394
330,1164,1521
331,1166,122
333,1173,316
334,1175,729
335,1178,765
336,1179,320
337,1196,418
340,1278,676
342,1340,328
343,1341,421
346,1371,429
347,1374,884
349,1380,455
350,1381,455
351,1384,242
352,1385,158
353,1390,802
354,1391,185
355,1392,636
356,1394,201
357,1396,445
358,1397,263
359,1400,5604
360,1402,5604
361,1405,2218
362,1406,5604
363,1407,5604
364,1412,313
365,1471,446
366,1472,258
367,1482,1132
368,1482,1132
369,1483,462
370,1484,414
371,1485,454
372,1486,488
373,1487,457
374,1488,241
380,1520,3698
382,1530,3232
383,1532,377
385,1534,1025
387,1542,530
388,1543,530
389,1544,530
390,1545,530
391,1546,530
392,1547,530
393,1548,530
394,1549,530
395,1550,530
397,1579,272
398,1583,519
399,1584,519
400,1585,519
401,1587,244
402,1588,121
403,1589,2828
404,1615,510
405,1616,510
406,1617,299
407,1618,751
408,1619,984
409,1620,984
410,1621,367
412,1648,70
414,1650,707
415,1652,6146
417,1658,2456
418,1659,2456
419,1660,908
